project_name,rera_id,promoter_name,district,project_type,developer_name,locality,city,land_area,number_of_towers,number_of_floors,total_units,unit_types,unit_sizes,project_status,possession_date,price_range,is_high_rise,source_url_99acres,faq_url_99acres,extraction_source
ANTRIKSH GRAND VIEW (ANTRIKSH INDIA GROUP),UPRERAPRJ6048,"Promoter

KAILASHPURI BULIDTECH PRIVATE LIMITED (ANTRIKSH IN",Gautam Buddha Nagar,Residential,,,,,15,22,1597,,,,,,,https://www.99acres.com/antriksh-golf-view-sector-78-noida-npxid-r54618,https://www.99acres.com/antriksh-faqs-golf-view-sector-78-noida-npxid-r54618,DDG Snippet
ANTRIKSH KANBALL 3G & FOREST(1),UPRERAPRJ10833,"Promoter

PERFECT PROPBUILD PVT LTD (ANTRIKSH GROUP)",Gautam Buddha Nagar,Residential,,,,8.89 acres,,,,2 BHK,,,,,,https://www.99acres.com/antriksh-kanball-3g-sector-77-noida-npxid-r3506,https://www.99acres.com/antriksh-faqs-kanball-3g-sector-77-noida-npxid-r3506,DDG Snippet
ANTRIKSH VALLEY,UPRERAPRJ5929,"Promoter

DILIGENT BUILDERS PVT. LTD. (ANTRIKSH GROUP)",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,https://www.99acres.com/antriksh-kanball-3g-sector-77-noida-npxid-r3506,https://www.99acres.com/antriksh-faqs-kanball-3g-sector-77-noida-npxid-r3506,
APEX ALPHABET (Formerly MISTY HEIGHTS),UPRERAPRJ7818,"Promoter

ALPHABET HEIGHTS PVT LTD (Formerly MAPLE REALCON PVT LTD)",Gautam Buddha Nagar,Residential,,,,0.62 acres,5,,550,"3,4 BHK",,,,,,https://www.99acres.com/apex-alphabet-sector-1-greater-noida-west-greater-noida-npxid-r373410,https://www.99acres.com/apex-faqs-alphabet-sector-1-greater-noida-west-greater-noida-npxid-r373410,DDG Snippet
APEX ATHENA,UPRERAPRJ10394,"Promoter

Apex Dream Homes Private Limited",Gautam Buddha Nagar,Residential,,,,7 acres,,,,,,,,,,https://www.99acres.com/apex-athena-sector-75-noida-npxid-r15402,https://www.99acres.com/apex-faqs-athena-sector-75-noida-npxid-r15402,DDG Snippet
Apex Court,UPRERAPRJ8960,"Promoter

Apex Infraventures Pvt. Ltd.",Gautam Buddha Nagar,Residential,,,,1.73 acres,,,287,,,,,,,https://www.99acres.com/apex-park-square-sector-16-b-greater-noida-npxid-c9887,https://www.99acres.com/apex-faqs-park-square-sector-16-b-greater-noida-npxid-c9887,DDG Snippet
APEX GOLF AVENUE,UPRERAPRJ8585,"Promoter

FLORAL REALCON PVT LTD",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,https://www.99acres.com/aims-golf-avenue-2-sector-75-noida-npxid-r23142,,
ARIHANT ABODE,UPRERAPRJ15792,"Promoter

PROSPER BUILDTECH PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
"arihant arden phase 3( towers K,L,M,N)",UPRERAPRJ8415,"Promoter

ARIHANT INFRRA REALTORS PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
ARIHANT ONE,UPRERAPRJ723911,"Promoter

ARHAM ESCON PVT. LTD.",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,https://www.99acres.com/arihant-one-sector-1-greater-noida-west-greater-noida-npxid-r399106,https://www.99acres.com/arihant-faqs-one-sector-1-greater-noida-west-greater-noida-npxid-r399106,
